Institution,Conference,Goals,Assists,ShAtt,SoG,Fouls,RedCards,YellowCards,Corners,PK,PKAtt
Northeastern,CAA,34,34,260,126,197,,9,83,4,4
Northern Ariz.,Big Sky,32,19,339,140,177,,12,95,2,2
Northern Colo.,Big Sky,12,8,166,70,152,,10,74,2,3
Northern Ky.,Horizon,24,27,240,125,169,1,12,115,1,1
Northwestern,Big Ten,39,36,263,129,167,,13,93,1,2
Northwestern St.,Southland,17,16,221,96,152,1,20,78,,1
Notre Dame,ACC,46,43,366,143,199,,21,124,2,4
Oakland,Horizon,15,9,148,75,183,1,15,57,4,4
Ohio,MAC,24,19,332,153,218,1,30,80,2,4
Ohio St.,Big Ten,34,28,279,127,185,,8,99,2,2
Oklahoma,Big 12,34,30,314,149,184,,14,148,2,3
Oklahoma St.,Big 12,37,30,347,140,212,,18,138,1,4
Old Dominion,Sun Belt,30,23,315,146,192,,17,89,2,2
Ole Miss,SEC,18,10,175,87,144,,17,86,3,3
Omaha,Summit League,29,32,193,83,146,,11,98,2,2
Oral Roberts,Summit League,35,39,301,157,175,,21,116,2,2
Oregon,Pac-12,9,11,152,66,178,,16,65,,1
Oregon St.,Pac-12,16,17,234,90,175,,12,93,,
Pacific,WCC,36,29,218,108,215,,14,76,3,3
Penn,Ivy League,14,7,192,88,122,,8,71,1,1
Penn St.,Big Ten,53,56,346,160,174,2,18,113,4,6
Pepperdine,WCC,40,37,258,139,153,,9,75,3,4
Pittsburgh,ACC,64,68,471,232,231,,18,196,5,9
Portland,WCC,26,18,203,96,144,,12,92,,
Portland St.,Big Sky,27,18,250,128,197,1,19,60,1,2
Prairie View,SWAC,11,4,106,74,121,1,20,25,1,1
Presbyterian,Big South,12,8,158,65,126,,9,55,,
Princeton,Ivy League,35,35,314,124,208,1,10,92,3,5
Providence,Big East,29,21,287,124,185,,12,93,2,2
Purdue,Big Ten,18,20,198,77,159,1,11,74,2,2
Purdue Fort Wayne,Horizon,20,21,196,93,173,,11,61,,
Queens (NC),ASUN,15,12,185,81,140,1,10,51,2,3
Quinnipiac,MAAC,43,41,287,151,199,,22,121,2,4
Radford,Big South,37,37,284,138,200,,12,104,3,4
Rhode Island,Atlantic 10,11,5,199,88,138,,6,78,1,1
Rice,AAC,19,19,202,99,139,1,19,79,2,3
Richmond,Atlantic 10,9,7,137,60,148,,8,55,1,1
Rider,MAAC,15,9,185,84,163,,14,80,1,1
Robert Morris,Horizon,39,41,295,160,173,,9,115,2,4
Rutgers,Big Ten,25,28,264,113,167,,20,78,4,5
Sacramento St.,Big Sky,12,8,211,73,185,1,17,76,3,4
Sacred Heart,NEC,32,23,249,127,164,1,9,83,3,3
Saint Francis (PA),NEC,17,15,125,67,103,,8,66,2,2
Saint Joseph's,Atlantic 10,13,14,158,71,160,,11,64,,
Saint Louis,Atlantic 10,74,70,457,222,282,,17,156,3,4
Saint Mary's (CA),WCC,29,29,243,105,165,,15,79,4,4
Saint Peter's,MAAC,16,11,141,74,179,,26,42,3,3
Sam Houston,CUSA,21,10,178,102,166,,11,54,2,2
Samford,SoCon,40,31,333,139,280,,22,147,,1
San Diego,WCC,6,4,146,69,154,,10,62,,
San Diego St.,Mountain West,43,36,303,150,167,,8,127,2,2
San Francisco,WCC,24,16,216,104,170,,17,74,1,3
San Jose St.,Mountain West,22,15,215,97,179,1,13,79,2,2
Santa Clara,WCC,41,49,339,148,140,1,18,147,3,4
Seattle U,WAC,33,22,276,111,176,,13,108,5,6
Seton Hall,Big East,22,27,184,87,215,1,18,45,,1
SFA,WAC,9,7,175,70,173,,22,59,1,1
Siena,MAAC,21,22,205,86,147,,12,73,,1
SIUE,OVC,18,17,195,90,191,1,23,102,,1
SMU,AAC,28,24,222,96,179,1,15,90,3,3
South Alabama,Sun Belt,52,48,326,161,147,,16,138,3,4
South Carolina,SEC,36,26,294,138,152,,15,89,2,2
South Carolina St.,DI Independent,5,2,56,31,101,1,10,6,1,1
South Dakota,Summit League,27,27,194,85,179,,17,99,,
South Dakota St.,Summit League,44,40,302,135,153,1,7,136,1,3
South Fla.,AAC,31,27,279,139,187,,27,88,1,1
Southeast Mo. St.,OVC,15,9,172,87,179,1,14,55,1,1
Southeastern La.,Southland,15,13,208,110,162,,25,76,,1
Southern California,Pac-12,34,40,268,112,166,,12,101,2,2
Southern Ill.,MVC,10,3,139,51,136,,14,56,2,2
Southern Ind.,OVC,15,16,185,86,177,,20,80,1,1
Southern Miss.,Sun Belt,25,12,172,86,150,3,24,66,3,4
Southern U.,SWAC,16,9,184,114,140,,14,43,1,1
Southern Utah,WAC,20,14,204,96,149,,16,56,,
St. Bonaventure,Atlantic 10,17,15,140,61,118,,6,48,4,4
St. John's (NY),Big East,34,38,175,85,185,,12,91,3,3
St. Thomas (MN),Summit League,17,11,183,87,136,,9,51,3,3
Stanford,Pac-12,54,60,445,191,200,,7,166,3,4
Stetson,ASUN,11,8,176,93,215,,23,37,3,3
Stonehill,NEC,11,6,182,89,133,,10,54,2,2
Stony Brook,CAA,29,16,252,125,156,1,14,100,6,7
Syracuse,ACC,16,12,138,62,150,1,17,57,1,1
Tarleton St.,WAC,21,13,156,79,125,,12,89,1,1
TCU,Big 12,28,25,252,98,183,,16,124,2,2
Temple,AAC,7,3,149,74,134,1,18,71,2,2
Tennessee,SEC,37,26,297,129,183,1,18,135,1,3
Tennessee Tech,OVC,32,33,270,116,114,,7,82,2,2
Tex. A&M-Commerce,Southland,32,28,241,112,172,1,18,105,2,3
Texas,Big 12,70,74,491,199,181,,14,162,10,10
Texas A&M,SEC,45,43,398,183,182,,11,121,4,6
Texas Southern,SWAC,29,13,256,124,189,1,20,69,4,5
Texas St.,Sun Belt,32,37,256,113,202,,16,97,1,2
Texas Tech,Big 12,45,60,325,126,177,1,17,104,3,4
The Citadel,SoCon,20,16,169,77,130,1,12,61,1,1
Toledo,MAC,27,20,197,89,177,2,18,63,1,1
Towson,CAA,43,50,314,141,198,1,10,89,1,2
Troy,Sun Belt,21,19,200,95,122,,7,119,,1
Tulsa,AAC,27,24,248,110,210,,14,82,2,2
UAB,AAC,21,21,165,80,148,1,16,62,,1
UAlbany,America East,17,12,194,92,151,1,15,47,1,2
UC Davis,Big West,28,22,265,112,212,,13,73,4,4
UC Irvine,Big West,29,37,277,117,235,1,19,130,2,3
UC Riverside,Big West,16,16,134,58,164,,16,47,3,4
UC San Diego,Big West,22,18,190,90,163,,16,67,,
UC Santa Barbara,Big West,17,12,194,74,175,1,13,76,4,5
UCF,Big 12,27,27,198,91,181,1,20,68,4,4
UCLA,Pac-12,52,37,396,162,162,,20,120,10,11
UConn,Big East,31,17,312,141,162,,10,126,1,1
UIC,MVC,18,11,225,104,188,1,17,98,,2
UIW,Southland,20,8,161,88,132,1,10,60,2,2
ULM,Sun Belt,35,32,295,143,197,,28,88,6,7
UMass Lowell,America East,23,20,233,110,204,,24,86,2,3
UMBC,America East,17,14,200,107,156,1,12,80,,1
UNC Asheville,Big South,26,22,234,111,135,1,19,78,1,1
UNC Greensboro,SoCon,22,17,192,89,202,,13,69,,
UNCW,CAA,17,21,128,72,157,,9,64,1,1
UNI,MVC,45,36,305,157,144,,6,98,,
UNLV,Mountain West,22,16,297,119,192,2,18,96,3,5
USC Upstate,Big South,45,43,322,167,173,,17,85,2,2
UT Martin,OVC,18,10,214,91,190,,14,83,2,3
Utah,Pac-12,27,26,270,123,185,1,20,88,7,8
Utah St.,Mountain West,28,31,331,141,214,,18,103,3,4
Utah Tech,WAC,26,23,242,91,198,,17,83,,
Utah Valley,WAC,54,54,348,171,156,1,10,123,3,4
UTEP,CUSA,12,5,115,50,150,1,19,42,1,2
UTRGV,WAC,12,8,104,44,109,,7,67,,1
UTSA,AAC,20,27,209,96,208,2,24,97,1,1
Valparaiso,MVC,27,24,275,114,276,1,29,100,2,2
Vanderbilt,SEC,31,28,251,101,138,,6,111,1,2
VCU,Atlantic 10,21,17,250,119,142,,11,112,,2
Vermont,America East,34,25,249,117,185,,10,93,2,2
Villanova,Big East,18,21,209,87,113,1,8,103,,2
Virginia,ACC,33,29,271,107,88,,5,98,3,3
Virginia Tech,ACC,24,18,204,97,206,,24,94,1,1
VMI,SoCon,12,8,173,75,189,,16,41,1,1
Wagner,NEC,23,16,226,105,216,4,20,75,2,2
Wake Forest,ACC,32,21,282,124,188,,21,85,3,3
Washington,Pac-12,31,33,246,108,184,,10,87,4,4
Washington St.,Pac-12,26,22,293,113,230,1,16,112,2,2
Weber St.,Big Sky,13,9,158,65,144,1,13,48,,1
West Virginia,Big 12,28,23,252,107,126,,8,115,1,1
Western Caro.,SoCon,44,40,289,144,189,,9,104,2,3
Western Ill.,OVC,10,5,94,51,142,,9,27,3,3
Western Ky.,CUSA,20,19,200,96,143,,8,95,1,2
Western Mich.,MAC,36,38,311,142,278,,23,136,1,1
William & Mary,CAA,30,22,277,135,208,,17,79,2,2
Winthrop,Big South,26,19,144,92,93,,9,56,1,1
Wisconsin,Big Ten,31,25,263,130,211,1,21,128,3,4
Wofford,SoCon,19,15,237,104,193,,18,66,1,1
Wright St.,Horizon,15,14,184,76,186,,16,48,1,1
Wyoming,Mountain West,26,20,272,118,268,,20,84,1,1
Xavier,Big East,34,34,408,195,202,1,18,145,3,4
Yale,Ivy League,25,20,182,89,123,,6,48,1,1
Youngstown St.,Horizon,21,23,193,87,144,,8,54,,1
,,,,,,,,,,,
