URL,Institution,Conference,Games,Goals,Assists,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,Corners,PK,PK Att,GWG
https://stats.ncaa.org/team/550/stats/16641,Prairie View,SWAC,1,2,1,5,16,11,9,,1,5,1,1
https://stats.ncaa.org/team/553/stats/16641,Presbyterian,Big South,2,3,2,8,18,7,19,,1,6,,
https://stats.ncaa.org/team/1320/stats/16641,Providence,Big East,1,1,2,4,8,3,5,,,5,,
https://stats.ncaa.org/team/556/stats/16641,Purdue,Big Ten,2,1,1,3,19,9,22,,3,9,,
https://stats.ncaa.org/team/559/stats/16641,Purdue Fort Wayne,Horizon,2,,,0,17,5,16,,,3,,
https://stats.ncaa.org/team/308/stats/16641,Queens (NC),ASUN,1,,,0,5,2,6,,,1,,
https://stats.ncaa.org/team/11504/stats/16641,Quinnipiac,MAAC,1,1,1,3,4,2,9,,1,6,,
https://stats.ncaa.org/team/562/stats/16641,Radford,Big South,2,4,6,14,11,8,13,,2,3,,
https://stats.ncaa.org/team/563/stats/16641,Rhode Island,Atlantic 10,1,,,0,4,,4,,,1,,
https://stats.ncaa.org/team/572/stats/16641,Rice,AAC,2,4,5,13,40,22,14,,,17,,
https://stats.ncaa.org/team/574/stats/16641,Richmond,Atlantic 10,1,1,1,3,6,3,15,,3,3,,
https://stats.ncaa.org/team/575/stats/16641,Rider,MAAC,1,,,0,9,5,7,,,4,,
https://stats.ncaa.org/team/576/stats/16641,Robert Morris,Horizon,1,5,6,16,15,10,10,,,6,,
https://stats.ncaa.org/team/579/stats/16641,Rutgers,Big Ten,2,2,2,6,33,8,17,,4,17,,
https://stats.ncaa.org/team/587/stats/16641,Sacramento St.,Big Sky,2,3,2,8,25,12,19,,1,7,,
https://stats.ncaa.org/team/676/stats/16641,Sacred Heart,MAAC,1,1,,2,11,4,16,,1,1,,
https://stats.ncaa.org/team/660/stats/16641,Saint Francis ,NEC,2,2,2,6,20,12,16,,5,7,,
https://stats.ncaa.org/team/663/stats/16641,Saint Joseph's,Atlantic 10,1,2,3,7,10,4,21,,1,4,,
https://stats.ncaa.org/team/102/stats/16641,Saint Louis,Atlantic 10,1,,,0,12,5,2,,,16,,
https://stats.ncaa.org/team/590/stats/16641,Saint Mary's (CA),WCC,2,,,0,20,4,26,1,4,11,,
https://stats.ncaa.org/team/600/stats/16641,Saint Peter's,MAAC,1,2,3,7,10,6,14,,2,3,,
https://stats.ncaa.org/team/606/stats/16641,Sam Houston,CUSA,2,4,1,9,15,9,14,,2,5,,
https://stats.ncaa.org/team/609/stats/16641,Samford,SoCon,2,3,3,9,27,9,24,,7,8,,
https://stats.ncaa.org/team/610/stats/16641,San Diego,WCC,2,,,0,12,3,23,,4,3,,
https://stats.ncaa.org/team/617/stats/16641,San Diego St.,Mountain West,2,4,3,11,30,14,22,,2,12,1,1
https://stats.ncaa.org/team/624/stats/16641,San Francisco,WCC,2,3,1,7,16,7,16,,1,3,,
