season,team,team_id,full_name,roster_name,first_name,last_name,yr,pos,number,ht,gp,gs,goals,assists,sh_att,so_g,fouls,red_cards,yellow_cards,corners,pk,pk_att,gwg
2025,Bellarmine Knights,52,Jackson Marks,Jackson Marks,Jackson,Marks,Sr,M,22,59,13,9,2,1,12,7,5,NA,2,NA,NA,NA,NA
2025,Bellarmine Knights,52,Ethan Jacobs,Ethan Jacobs,Ethan,Jacobs,Jr,M,10,510,12,0,NA,NA,1,1,2,NA,1,NA,NA,NA,NA
2025,Bellarmine Knights,52,Martin Cadagan,Martin Cadagan,Martin,Cadagan,So,D,37,62,12,8,2,NA,7,5,6,NA,1,NA,NA,NA,2
2025,Bellarmine Knights,52,Bartosz Wojda,Bartosz Wojda,Bartosz,Wojda,Fr,F,7,511,10,0,NA,NA,4,3,4,NA,1,NA,NA,NA,NA
2025,Bellarmine Knights,52,Jackson Jones,Jackson Jones,Jackson,Jones,So,M,14,62,9,0,NA,1,1,1,4,NA,1,NA,NA,NA,NA
2025,Bellarmine Knights,52,Sawyer Trowel,Sawyer Trowel,Sawyer,Trowel,So,M,25,60,8,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
2025,Bellarmine Knights,52,James Gardev,James Gardev,James,Gardev,Sr,D,17,60,7,7,NA,1,NA,NA,6,NA,NA,NA,NA,NA,NA
2025,Bellarmine Knights,52,Joaquin Wladdimiro,Joaquin Wladdimiro,Joaquin,Wladdimiro,Fr,F,21,58,6,0,1,NA,4,3,2,NA,NA,NA,NA,NA,NA
2025,Bellarmine Knights,52,Luke Gonda,Luke Gonda,Luke,Gonda,Fr,D,16,60,5,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
2025,Bellarmine Knights,52,Bennett Kirn,Bennett Kirn,Bennett,Kirn,Jr,D,15,62,5,0,NA,1,2,1,1,NA,NA,NA,NA,NA,NA
2025,Bellarmine Knights,52,Gavin Crowe,Gavin Crowe,Gavin,Crowe,Fr,D,38,63,5,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
2025,Bellarmine Knights,52,Brady Smith,Brady Smith,Brady,Smith,Fr,D,24,61,4,0,1,1,2,1,1,NA,NA,NA,NA,NA,NA
2025,Bellarmine Knights,52,Sawyer Gribble,Sawyer Gribble,Sawyer,Gribble,Fr,D,13,64,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,Bellarmine Knights,52,Alessandro Rincon,Alessandro Rincon,Alessandro,Rincon,Fr,M,40,58,1,0,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA
2025,Bellarmine Knights,52,Tudor Iordan,Tudor Iordan,Tudor,Iordan,Jr,GK,1,63,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,Belmont Bruins,14927,Brad Dildy,Brad Dildy,Brad,Dildy,Sr,M,7,60,17,17,2,3,16,8,6,NA,1,NA,NA,NA,2
2025,Belmont Bruins,14927,Grant Calvert,Grant Calvert,Grant,Calvert,Sr,GK,1,62,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,Belmont Bruins,14927,Lucas Wolthers,Lucas Wolthers,Lucas,Wolthers,So,F,11,62,17,6,3,NA,23,6,13,NA,NA,NA,NA,NA,NA
2025,Belmont Bruins,14927,Paul Claes Nielsen,Paul Claes Nielsen,Paul,Claes Nielsen,Fr,M,18,62,17,16,1,5,15,8,17,NA,4,NA,NA,NA,1
2025,Belmont Bruins,14927,Parker Forbes,Parker Forbes,Parker,Forbes,Sr,D,2,61,17,17,1,2,3,1,11,NA,1,NA,NA,NA,NA
2025,Belmont Bruins,14927,Riley Clothier,Riley Clothier,Riley,Clothier,Sr,D,3,63,17,17,1,1,3,1,8,NA,1,NA,NA,NA,NA
2025,Belmont Bruins,14927,Brock Kiper,Brock Kiper,Brock,Kiper,Jr,F,19,65,17,14,6,3,26,13,7,NA,NA,NA,2,2,3
2025,Belmont Bruins,14927,Ethan Schlegel,Ethan Schlegel,Ethan,Schlegel,Jr,M,27,63,17,9,NA,2,7,1,8,NA,2,NA,NA,NA,NA
2025,Belmont Bruins,14927,Jimiyu Mark,Jimiyu Mark,Jimiyu,Mark,Sr,F,9,56,16,16,1,1,15,6,23,1,3,NA,NA,NA,NA
2025,Belmont Bruins,14927,Nate Mefford,Nate Mefford,Nate,Mefford,Sr,D,5,63,16,0,1,NA,6,3,13,NA,1,NA,NA,NA,NA
2025,Belmont Bruins,14927,Griffin Moore,Griffin Moore,Griffin,Moore,Jr,D,4,63,16,16,NA,NA,NA,NA,3,1,1,NA,NA,NA,NA
2025,Belmont Bruins,14927,Louis Peña,Louis Peña,Louis,Peña,So,M,6,61,16,12,3,1,13,6,13,NA,2,NA,1,1,2
2025,Belmont Bruins,14927,Nzuhri Biggar,Nzuhri Biggar,Nzuhri,Biggar,Fr,M,10,65,15,10,3,2,11,7,20,NA,3,NA,NA,NA,NA
2025,Belmont Bruins,14927,Emmanuel Aranda,Emmanuel Aranda,Emmanuel,Aranda,So,M,25,61,12,0,1,1,5,5,3,NA,NA,NA,NA,NA,NA
2025,Belmont Bruins,14927,Dylan Steely,Dylan Steely,Dylan,Steely,Sr,D,26,62,12,12,NA,2,7,2,18,NA,2,NA,NA,NA,NA
2025,Belmont Bruins,14927,AJ Elliott,AJ Elliott,AJ,Elliott,Jr,D,17,59,11,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
2025,Belmont Bruins,14927,Jaxon Stokes,Jaxon Stokes,Jaxon,Stokes,Fr,F,12,510,11,0,4,NA,7,6,6,NA,NA,NA,NA,NA,NA
2025,Belmont Bruins,14927,Oscar Hough,Oscar Hough,Oscar,Hough,Sr,M,28,61,8,8,NA,2,NA,NA,4,NA,1,NA,NA,NA,NA
2025,Belmont Bruins,14927,Simeon Betapudi,Simeon Betapudi,Simeon,Betapudi,Jr,M,24,510,5,0,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
2025,Belmont Bruins,14927,Dru Stanton,Dru Stanton,Dru,Stanton,So,D,29,61,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,Belmont Bruins,14927,Zach Stanton,Zach Stanton,Zach,Stanton,Fr,D,15,61,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,Belmont Bruins,14927,Miles Kipley,Miles Kipley,Miles,Kipley,Fr,GK,0,62,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,Binghamton Bearcats,62,Simon Knuewe,Simon Knuewe,Simon,Knuewe,Sr,M,6,65,17,17,NA,NA,12,6,17,NA,4,NA,NA,NA,NA
2025,Binghamton Bearcats,62,Calvin Moe,Calvin Moe,Calvin,Moe,Sr,F,11,63,17,17,1,NA,14,4,13,NA,3,NA,NA,NA,1
2025,Binghamton Bearcats,62,D.T. Megliola,D.T. Megliola,D.T.,Megliola,So,F,25,510,17,15,NA,4,14,5,10,NA,4,NA,NA,NA,NA
2025,Binghamton Bearcats,62,Ryan Gillon,Ryan Gillon,Ryan,Gillon,So,D,23,59,17,14,1,2,6,1,10,NA,2,NA,NA,NA,NA
2025,Binghamton Bearcats,62,Gaven Egan,Gaven Egan,Gaven,Egan,Sr,FM,21,510,17,14,NA,NA,14,4,14,NA,3,NA,NA,NA,NA
2025,Binghamton Bearcats,62,Saar Almoznino,Saar Almoznino,Saar,Almoznino,Jr,D,5,60,16,6,NA,NA,2,NA,13,NA,2,NA,NA,NA,NA
2025,Binghamton Bearcats,62,Jamie Howell,Jamie Howell,Jamie,Howell,Jr,F,7,55,16,5,NA,NA,2,NA,7,NA,3,NA,NA,NA,NA
2025,Binghamton Bearcats,62,Alex Balkey,Alex Balkey,Alex,Balkey,Jr,M,12,58,16,16,2,1,19,5,21,NA,1,NA,NA,NA,1
2025,Binghamton Bearcats,62,Luke Yates,Luke Yates,Luke,Yates,Sr,D,4,61,15,13,NA,NA,5,2,10,NA,NA,NA,NA,NA,NA
2025,Binghamton Bearcats,62,Will Mahoney,Will Mahoney,Will,Mahoney,Sr,D,22,61,15,14,NA,3,5,1,5,NA,1,NA,NA,NA,NA
2025,Binghamton Bearcats,62,Rio Onwumere,Rio Onwumere,Rio,Onwumere,Sr,D,3,510,14,14,NA,NA,NA,NA,9,NA,5,NA,NA,NA,NA
